Investor,Count
Mundi Ventures,1
Doqling Capital Partners,1
Kairos HQ,1
DILA Capital,1
Founders Capital,1
MPM Capital,1
Astellas Venture Management,1
F2 Ventures,1
BaltCap,1
TI Platform Management,1
Volkswagen,1
"Menlo Ventures,Crosslink Capital",1
.406 Ventures,1
Transamerica Ventures,1
Crane Venture Partners,1
Geekdom Fund,1
Gobi Partners,1
Ondine Capital,1
Crossbeam Venture Partners,1
Huobi Ventures,1
Boxin Capital,1
DT Capital Partners,1
Jove Equity Partners,1
Alpha Wave Global,1
Cybernaut Growth Fund,1
Yabeo Capital,1
Vulcan Capital,1
GAM Holding,1
People Electrical Appliance Group China,1
Zhongrong International Trust,1
enaya Capital,1
OMERS Private Equity,1
IndexVentures,1
Altitude Life Science Ventures. T. Rowe Price,1
Morningside Venture Partners,1
Aker,1
HOF Capital,1
World Innovation Lab,1
Light Street Capital,1
QiMing Venture Partnersl,1
China Everbright Investment Management,1
Expa,1
Metaplanet,1
Sram & Mram Group,1
Marshland Capital,1
Longzhu Capital,1
CSC Group,1
Marathon Venture Partners,1
Ding Xiang Capital,1
New Hope Fund,1
Sino-Ocean Capital,1
Taigang Venture Capital,1
"Temasek,	BUILD Capital Partners",1
	Northzone Ventures,1
China Life Investment Holding Company,1
Kickstart Fund,1
Bonfire Ventures,1
Newion Partners,1
SmartFin Capital,1
Doha Venture Capital,1
BNP Paribas,1
Phoenix New Media,1
Tianjin Haihe Industry Fund,1
Seaya Ventures,1
Otter Rock Capital,1
Rakuten,1
SF Holding Co,1
STO Express,1
Lightbox Ventures,1
Entree Capital,1
Global Emerging Markets,1
Matrix Partmers,1
Yinxinggu Capital,1
Builders VC,1
JOY Capital,1
Madrone Capital Partners,1
Mangrove Capital Partners,1
Rubicon Technology Partners,1
Inclusive Capital Partners,1
Moonshots Capital,1
Blu Venture Investors,1
Deciens Capital,1
Korelya Capital,1
Amiti Ventures,1
VGames,1
Charoen Pokphand Group,1
Bow Wave Capital,1
Nyca Partners,1
GoldenTree Asset Management,1
ION Crossover Partners,1
Brighton Park Capital,1
Workday Ventures,1
SV Angel,1
SingulariTeam,1
BP Ventures,1
